timestamp,cpu,mem,disk,process_info
2025-10-01 15:41:11,15.9,56.2,77.9,0|System Idle Process|125.5|0.0078125;260|Code.exe|0.0|603.3828125;1792|MemCompression|0.0|418.8203125;8596|chrome.exe|26.8|153.06640625;11420|chrome.exe|40.0|159.53515625;11620|dwm.exe|24.4|70.95703125;12944|MsMpEng.exe|0.0|262.8125;15420|Code.exe|0.0|311.328125;15660|chrome.exe|22.5|534.95703125;20208|python3.11.exe|76.8|120.87109375
2025-10-01 15:41:12,32.6,56.1,77.9,0|System Idle Process|298.3|0.0078125;260|Code.exe|0.0|603.3828125;1792|MemCompression|0.0|418.8203125;12944|MsMpEng.exe|1.6|262.8125;15420|Code.exe|0.0|311.2265625;15660|chrome.exe|0.0|534.76171875;20208|python3.11.exe|59.0|120.87109375
2025-10-01 15:41:13,37.9,56.0,77.9,0|System Idle Process|254.2|0.0078125;260|Code.exe|0.0|603.3828125;1792|MemCompression|0.0|418.8203125;12944|MsMpEng.exe|0.0|262.6640625;15420|Code.exe|4.2|306.12890625;15660|chrome.exe|0.0|534.70703125;20208|python3.11.exe|99.9|121.1328125;25536|msedge.exe|25.0|109.19140625
2025-10-01 15:41:14,21.3,56.0,77.9,0|System Idle Process|203.7|0.0078125;260|Code.exe|0.0|603.3828125;1792|MemCompression|0.0|418.8203125;12944|MsMpEng.exe|0.0|262.6640625;15420|Code.exe|3.6|306.3515625;15660|chrome.exe|0.0|534.70703125;20208|python3.11.exe|99.9|120.87109375
2025-10-01 15:41:16,15.0,55.6,77.9,0|System Idle Process|283.1|0.0078125;260|Code.exe|0.0|603.40234375;1792|MemCompression|0.0|418.8203125;12944|MsMpEng.exe|0.0|262.65625;15420|Code.exe|0.0|307.21875;15660|chrome.exe|31.6|534.09375;20208|python3.11.exe|100.1|120.875
2025-10-01 15:41:18,27.9,55.5,77.9,0|System Idle Process|301.6|0.0078125;260|Code.exe|0.0|603.40234375;1792|MemCompression|0.0|418.8203125;12944|MsMpEng.exe|0.0|262.64453125;15420|Code.exe|0.0|307.21875;15660|chrome.exe|0.0|534.09375;20208|python3.11.exe|54.8|120.875
2025-10-01 15:41:19,60.5,55.4,77.9,0|System Idle Process|273.1|0.0078125;260|Code.exe|0.0|603.40234375;1792|MemCompression|0.0|418.8203125;12944|MsMpEng.exe|0.0|262.66796875;15420|Code.exe|0.0|306.29296875;15660|chrome.exe|0.0|534.09375;20208|python3.11.exe|100.0|120.875
2025-10-01 15:41:20,43.2,55.3,77.9,0|System Idle Process|135.4|0.0078125;260|Code.exe|0.0|603.40234375;1792|MemCompression|0.0|418.8203125;8596|chrome.exe|38.5|137.94921875;11420|chrome.exe|47.5|159.4609375;11620|dwm.exe|36.6|61.3828125;12944|MsMpEng.exe|0.0|262.66796875;15420|Code.exe|0.0|306.91015625;15660|chrome.exe|58.5|535.1796875;20208|python3.11.exe|64.3|121.12890625
2025-10-01 15:41:22,67.8,55.2,77.9,0|System Idle Process|232.7|0.0078125;260|Code.exe|0.0|603.40234375;1792|MemCompression|0.0|418.8203125;12944|MsMpEng.exe|0.0|249.3671875;15420|Code.exe|0.0|307.21484375;15660|chrome.exe|100.3|537.046875;20208|python3.11.exe|100.1|120.875
2025-10-01 15:41:23,48.8,55.1,77.9,0|System Idle Process|236.5|0.0078125;260|Code.exe|0.0|603.40234375;1792|MemCompression|0.0|418.8203125;12944|MsMpEng.exe|0.0|249.40234375;15420|Code.exe|0.0|307.21484375;15660|chrome.exe|183.6|538.4765625;20208|python3.11.exe|64.2|120.8515625
